Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Weight,Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022245,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.4998,4.87,648,0.0421,,0.0654,,13.6,MPG,11.3,13.3,17.2,,,,,60.339,0.05372,0.024328,8.376,-0.0075,0.023028,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022356,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0345,0.285,617,0.0255,0.001,0.0137,0.006,14.4,MPG,14.8,13.1,17.3,,,,,54.853,0.04883,0.022116,7.614,-0.0083,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022357,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0023,0.013,333,0.0086,,0.0003,0.001,26.7,MPG,,,,,,,,54.853,0.04883,0.022116,7.614,-0.0083,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,0,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX10043924,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00092,0.0829,195.26,0.0019,,0.00066,,45.8,MPG,,,,,4.955,4.48,0.12,51.9,-0.199,0.02188,21,0.255,0.01612,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,0,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX10044021,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00319,0.1754,293.74,0.0047,,0.00068,0.0019,30.3,MPG,29.2,30.8,30.5,,0.391,-0.04,-0.551,51.9,-0.199,0.02188,21,0.255,0.01612,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,1,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX91003278,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0035087,0.454953,311.4590798,0.0065743,,0.0011827,,28.6,MPG,28.0684385,28.0578049,29.8209286,,-0.285114,-0.210091,-0.883539,51.9,-0.199,0.02188,21,0.255,0.01612,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,1,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX91003279,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0224097,189.5904212,0.002859,,0.0000538,,46.9,MPG,,,,,2.510575,1.793316,-0.286742,51.9,-0.199,0.02188,21,0.255,0.01612,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,2,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,24.8,1,Not eqipped,HBMX10043921,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00465,0.4268,285.88,0.0039,,0.00095,0.0012,31.1,MPG,30,31.1,32.1,,0.497,0.385,-0.373,47.9,-0.211,0.02189,15.5,0.279,0.01574,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,2,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,24.8,1,Not eqipped,HBMX10043922,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00014,0.0224,185.57,0.0026,,0,,48,MPG,,,,,0.917,0.668,-0.22,47.9,-0.211,0.02189,15.5,0.279,0.01574,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,3,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,24.8,1,Not eqipped,HBMX10043923,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00484,0.286,306.3251,0.005,,0.0015,0.0011,29.1,MPG,27.7,28.7,31,,0.53,0.362,-0.898,47.9,-0.211,0.02189,15.5,0.279,0.01574,TWC,Three-way catalyst,N,,,N,No averaging
